Gene,Sample_1,Sample_2,Sample_3
OR7E128P,NA,NA,NA
TVP23A,NA,NA,NA
OR7E38P,NA,NA,NA
ODF2-AS1,NA,NA,NA
ERICH2,NA,NA,NA
GRPEL2-AS1,NA,NA,NA
FANCD2OS,NA,NA,NA
SMAD1-AS1,NA,NA,NA
EFCAB14-AS1,NA,NA,NA
PLET1,NA,NA,NA
PALM2-AKAP2,NA,NA,NA
LRRC37A17P,NA,NA,NA
CCDC175,NA,NA,NA
LSMEM1,NA,NA,NA
HYKK,NA,NA,NA
SPATA17-AS1,NA,NA,NA
CEP164P1,NA,NA,NA
FAM227B,NA,NA,NA
MTFR2,NA,NA,NA
CERS6-AS1,NA,NA,NA
METTL25,NA,NA,NA
AP4B1-AS1,NA,NA,NA
RPSAP6,NA,NA,NA
NIFK-AS1,NA,NA,NA
PITRM1-AS1,NA,NA,NA
PRC1-AS1,NA,NA,NA
UGDH-AS1,NA,NA,NA
HIST1H2AD,NA,NA,NA
CCDC148-AS1,NA,NA,NA
TLDC2,NA,NA,NA
RPL7P11,NA,NA,NA
TRMT10A,NA,NA,NA
USP3-AS1,NA,NA,NA
RPL7P25,NA,NA,NA
HNRNPA3P9,NA,NA,NA
LINC00504,NA,NA,NA
HNRNPA3P11,NA,NA,NA
EDRF1-AS1,NA,NA,NA
FAM230B,NA,NA,NA
EFCAB13,NA,NA,NA
MTATP8P1,NA,NA,NA
NUTM2G,NA,NA,NA
NDUFAF7,NA,NA,NA
UBALD2,NA,NA,NA
RNU6-1026P,NA,NA,NA
TEX38,NA,NA,NA
TMEM243,NA,NA,NA
CYB561A3,NA,NA,NA
SLC51A,NA,NA,NA
OR7E7P,NA,NA,NA
