Gene,GSE60052_GSM1464305,GSE60052_GSM1464357,GSE151904_GSM4593197,GSE151904_GSM4593221,GSE229701_GSM7173441
OR7E128P,10.515619035601885,10.515619035601885,6.560073480631005,6.06487298086552,1.612056318483704
TVP23A,10.963482764969145,10.963482764969145,6.921029740749505,6.7033874861926694,2.6811059665937416
OR7E38P,10.693996248688723,10.693996248688723,6.374621924052174,6.092645976830966,2.3873774524376055
ODF2-AS1,9.811502353027528,9.811502353027528,6.274500190010251,5.833520756442509,2.3873774524376055
ERICH2,10.240213980920583,10.240213980920583,5.971094923228838,7.1783672529160745,0.0349193395106031
GRPEL2-AS1,9.367845256794876,9.367845256794876,5.027793004255251,4.61532752854143,2.186461687263721
FANCD2OS,10.37000363861409,10.37000363861409,6.055662705079378,6.436373362667338,1.1755881914538107
SMAD1-AS1,10.667956390958173,10.667956390958173,6.50464932658079,6.909446463026836,0.0349193395106031
EFCAB14-AS1,10.495077280759437,10.495077280759437,6.338599785013174,5.858001288300203,0.0349193395106031
PLET1,10.176154824267574,10.176154824267574,5.95371347946548,5.879181774415833,0.0349193395106031
PALM2-AKAP2,0.015978992719403274,0.00235573422686546,2.1895549476028826,1.5227067498918798,5.254360364402248
LRRC37A17P,11.294363581914002,11.294363581914002,7.066934709180485,6.74920550855579,2.8857078129797835
CCDC175,10.871039061043158,10.871039061043158,6.678280078568951,6.570122931238784,0.0349193395106031
LSMEM1,10.10289587163293,10.10289587163293,6.213232287273938,4.320268661825734,2.7964629185980074
HYKK,11.121267289199656,11.121267289199656,6.113247718746532,6.016233966471916,3.5301526648259274
SPATA17-AS1,9.84983093853145,9.84983093853145,6.374621924052174,5.599284934113928,0.0349193395106031
CEP164P1,10.308285629032302,10.308285629032302,6.12603856798915,5.431145767776526,2.7964629185980074
FAM227B,11.53376577731269,11.53376577731269,6.999238578496584,6.4925954428001305,4.323971260098643
MTFR2,11.476675086456055,11.476675086456055,7.131393177069035,7.144548221099808,5.777766728875716
CERS6-AS1,11.86703631978417,11.86703631978417,7.579501728199134,7.4258378274392465,0.0349193395106031
METTL25,11.287391588808733,11.287391588808733,6.756457365869716,5.910864155407432,4.796745552039366
AP4B1-AS1,9.989127432823182,9.989127432823182,5.190779086431897,5.517473001877334,3.7311752103637414
RPSAP6,9.366303813763931,9.366303813763931,4.779778629500767,3.853398532873796,0.0349193395106031
NIFK-AS1,11.621087330209503,11.621087330209503,7.045713775759928,6.946580860296259,4.606209719559411
PITRM1-AS1,10.441042768056983,10.441042768056983,5.896690986315107,5.314881456800132,3.6059561844781545
PRC1-AS1,11.139336693407682,11.139336693407682,6.573431702578595,6.623409748099211,4.083469128635429
UGDH-AS1,8.93947339945718,9.118090909368112,6.15064583594998,5.670529840701046,3.866396226586803
HIST1H2AD,0.015978992719403274,0.00235573422686546,2.840456521343768,0.03723274286557277,4.749340911946183
CCDC148-AS1,9.323484306593489,9.323484306593489,5.417038752004989,5.472417673407039,0.0349193395106031
TLDC2,10.740551437599663,10.740551437599663,5.896690986315107,6.907155698465688,0.0349193395106031
RPL7P11,9.843737772917345,9.843737772917345,6.300349791852354,5.391546028818856,0.0349193395106031
TRMT10A,11.23853550653475,11.23853550653475,7.092316867528891,6.942966687696024,5.226808253929221
USP3-AS1,11.485005797038127,11.485005797038127,7.078827902452302,7.1470355850487195,3.8887419757854573
RPL7P25,6.344175583962218,5.962077815889,4.223848632805615,3.506529549506418,0.0349193395106031
HNRNPA3P9,9.479602833450476,9.479602833450476,5.523391954994974,5.379794510751438,2.9744050939984996
LINC00504,8.348293690382716,9.072390771977696,6.460935728928433,6.0870851387371125,1.612056318483704
HNRNPA3P11,9.750499308168697,9.750499308168697,5.927344722983685,4.688265073999025,2.186461687263721
EDRF1-AS1,10.161964359429897,10.161964359429897,5.832425610226376,5.442573000719989,2.3873774524376055
FAM230B,10.13198877385218,10.13198877385218,6.342406808292561,6.016233966471916,0.0349193395106031
EFCAB13,11.797677646398483,11.797677646398483,8.110167425684656,7.922244092319974,4.606209719559411
MTATP8P1,10.670775033447406,10.670775033447406,6.4925954428001305,5.756290471618426,0.0349193395106031
NUTM2G,10.724596554793969,10.724596554793969,6.985639700763372,6.232850116439192,3.956309116474821
NDUFAF7,12.156394317172156,12.156394317172156,7.379675897246735,7.74936947433327,5.178056591346
UBALD2,12.376258414740109,12.376258414740109,3.0702465306508233,1.5227067498918798,8.498845506656405
RNU6-1026P,8.96946171450399,8.91391498060077,3.7311752103637414,0.9666900165711808,0.0349193395106031
TEX38,9.299588172304057,9.299588172304057,4.779778629500767,4.406954173470563,1.9319768937304218
TMEM243,11.580521470387431,11.580521470387431,6.980593259990133,7.082880211422805,5.521921457697381
CYB561A3,11.672727148612795,11.672727148612795,3.9566182163135024,3.506529549506418,6.605334925490727
SLC51A,10.044321370782768,10.044321370782768,5.248582157533364,4.406954173470563,4.009877479464169
OR7E7P,10.618035669886135,10.618035669886135,6.076569541153196,3.9177535307744673,2.5511161292026725
